Entity,Year,flights_airline,flights_total,share
AEGEAN Group,2020,55228,2877806,0.019191008705937786
AEGEAN Group,2021,75390,3548955,0.02124287290202327
AEGEAN Group,2022,127064,7403022,0.0171638014853934
AEGEAN Group,2023,22268,1472690,0.015120629596181137
ASL Airlines Belgium,2020,25947,2877806,0.009016243624483373
ASL Airlines Belgium,2021,27680,3548955,0.0077994790015652495
ASL Airlines Belgium,2022,29726,7403022,0.0040153872297016
ASL Airlines Belgium,2023,6287,1472690,0.004269058661361183
Aer Lingus Group,2020,24457,2877806,0.00849848808432535
Aer Lingus Group,2021,21473,3548955,0.006050513461004718
Aer Lingus Group,2022,77057,7403022,0.010408857355820367
Aer Lingus Group,2023,14911,1472690,0.010125009336656051
Air Europa,2020,37042,2877806,0.012871611220492277
Air Europa,2021,40152,3548955,0.011313752921634678
Air Europa,2022,80305,7403022,0.010847597102912837
Air Europa,2023,17962,1472690,0.012196728435719669
Air France Group,2020,186341,2877806,0.0647510638312659
Air France Group,2021,236516,3548955,0.06664384304675601
Air France Group,2022,437146,7403022,0.059049669175642056
Air France Group,2023,85836,1472690,0.05828517882242699
Austrian Airlines,2020,42689,2877806,0.014833869968997215
Austrian Airlines,2021,56852,3548955,0.016019363446422963
Austrian Airlines,2022,120465,7403022,0.016272408754154723
Austrian Airlines,2023,23233,1472690,0.01577589309359064
Bristow Norway,2020,31810,2877806,0.01105355955196424
Bristow Norway,2021,29266,3548955,0.008246371114877478
Bristow Norway,2022,34678,7403022,0.004684303248051944
Bristow Norway,2023,6991,1472690,0.004747095451181172
British Airways Group,2020,117079,2877806,0.040683423413531004
British Airways Group,2021,99992,3548955,0.028175054346983832
British Airways Group,2022,299000,7403022,0.04038891144724411
British Airways Group,2023,71097,1472690,0.04827696256510196
Brussels Airlines,2020,21572,2877806,0.007495988263281125
Brussels Airlines,2021,29883,3548955,0.00842022510851786
Brussels Airlines,2022,67101,7403022,0.009064001160607115
Brussels Airlines,2023,13772,1472690,0.00935159470085354
DHL Group,2020,71262,2877806,0.024762614297141643
DHL Group,2021,78943,3548955,0.022244012674153376
DHL Group,2022,110376,7403022,0.014909586922745873
DHL Group,2023,23441,1472690,0.015917131236037455
EL AL,2020,8323,2877806,0.0028921337991511587
EL AL,2021,11060,3548955,0.0031164103236023
EL AL,2022,32015,7403022,0.0043245852842258205
EL AL,2023,6987,1472690,0.004744379333057195
Emirates,2020,34015,2877806,0.011819768254010174
Emirates,2021,42148,3548955,0.011876171999926738
Emirates,2022,76150,7403022,0.010286339821764679
Emirates,2023,17867,1472690,0.012132220630275211
Eurowings Group,2020,74144,2877806,0.025764071657366758
Eurowings Group,2021,74652,3548955,0.021034924365059573
Eurowings Group,2022,184551,7403022,0.02492914380100451
Eurowings Group,2023,29396,1472690,0.01996075209310853
Federal Express,2020,21756,2877806,0.007559925860186545
Federal Express,2021,22130,3548955,0.0062356383780577665
Federal Express,2022,26518,7403022,0.0035820506814649477
Federal Express,2023,5004,1472690,0.003397863773095492
Finnair,2020,47771,2877806,0.016599798596569747
Finnair,2021,43451,3548955,0.012243322330094352
Finnair,2022,113510,7403022,0.01533292755309926
Finnair,2023,26319,1472690,0.01787137822623906
ITA Airways,2020,0,2877806,0.0
ITA Airways,2021,15585,3548955,0.0043914335346602025
ITA Airways,2022,127898,7403022,0.017276458181537214
ITA Airways,2023,29314,1472690,0.019905071671566996
Iberia Group,2020,51775,2877806,0.017991136303142048
Iberia Group,2021,77854,3548955,0.02193716178424353
Iberia Group,2022,156338,7403022,0.021118132568024247
Iberia Group,2023,34748,1472690,0.02359491814299004
Iberia Regional-Air Nostrum,2020,31890,2877806,0.01108135850714051
Iberia Regional-Air Nostrum,2021,49142,3548955,0.013846892958631484
Iberia Regional-Air Nostrum,2022,87638,7403022,0.011838138533155785
Iberia Regional-Air Nostrum,2023,17942,1472690,0.012183147845099784
KLM Group,2020,150550,2877806,0.052314158772342544
KLM Group,2021,183304,3548955,0.05165013363088571
KLM Group,2022,317494,7403022,0.04288708043823185
KLM Group,2023,63974,1472690,0.043440235215829535
LOT,2020,53499,2877806,0.01859020378719066
LOT,2021,58677,3548955,0.01653359932712587
LOT,2022,114656,7403022,0.015487729200318465
LOT,2023,23711,1472690,0.016100469209405915
Loganair,2020,31054,2877806,0.01079085942554849
Loganair,2021,43345,3548955,0.012213454383050786
Loganair,2022,70786,7403022,0.009561770855199403
Loganair,2023,13616,1472690,0.009245666094018428
Lufthansa Airlines,2020,194061,2877806,0.06743366300577593
Lufthansa Airlines,2021,225344,3548955,0.06349587413759825
Lufthansa Airlines,2022,485882,7403022,0.06563292666157144
Lufthansa Airlines,2023,93289,1472690,0.06334598591692753
Norwegian Group,2020,59814,2877806,0.02078458381141745
Norwegian Group,2021,53191,3548955,0.014987792181078655
Norwegian Group,2022,159720,7403022,0.021574973031283712
Norwegian Group,2023,30927,1472690,0.021000346305060806
Pegasus,2020,95666,2877806,0.033242685573662716
Pegasus,2021,134011,3548955,0.03776069293637141
Pegasus,2022,193044,7403022,0.026076377998066193
Pegasus,2023,37118,1472690,0.025204218131446538
Qatar Airways,2020,56642,2877806,0.019682355238678353
Qatar Airways,2021,63532,3548955,0.017901607656338275
Qatar Airways,2022,86920,7403022,0.01174115111369384
Qatar Airways,2023,18129,1472690,0.012310126367395717
Ryanair Group,2020,347931,2877806,0.12090147841793367
Ryanair Group,2021,482058,3548955,0.13583096996158023
Ryanair Group,2022,1145167,7403022,0.15468912560303077
Ryanair Group,2023,219764,1472690,0.149226245849432
SAS Group,2020,121623,2877806,0.04226240406754312
SAS Group,2021,115989,3548955,0.0326825783927945
SAS Group,2022,245731,7403022,0.03319333645097907
SAS Group,2023,52863,1472690,0.03589553809695183
SWISS Group,2020,55237,2877806,0.019194136088395118
SWISS Group,2021,66111,3548955,0.01862830044336995
SWISS Group,2022,155541,7403022,0.021010473830822062
SWISS Group,2023,32525,1472690,0.0220854354955897
TAP Group,2020,48002,2877806,0.016680068079641227
TAP Group,2021,61521,3548955,0.017334961981766463
TAP Group,2022,135486,7403022,0.018301445004486005
TAP Group,2023,29408,1472690,0.01996890044748046
TUI Group,2020,40675,2877806,0.014134031272434625
TUI Group,2021,61887,3548955,0.017438090930992363
TUI Group,2022,154339,7403022,0.020848107705204712
TUI Group,2023,19552,1472690,0.013276385390000612
Turkish Airlines,2020,229255,2877806,0.07966311836169637
Turkish Airlines,2021,342463,3548955,0.09649685611680058
Turkish Airlines,2022,566390,7403022,0.07650794499867757
Turkish Airlines,2023,124359,1472690,0.08444343344492052
Volotea,2020,30506,2877806,0.010600436582591043
Volotea,2021,41810,3548955,0.011780932697089706
Volotea,2022,77180,7403022,0.01042547219230201
Volotea,2023,7174,1472690,0.004871357855353129
Vueling,2020,75116,2877806,0.026101828962758436
Vueling,2021,111637,3548955,0.03145630192549638
Vueling,2022,246718,7403022,0.0333266603827464
Vueling,2023,47847,1472690,0.032489525969484415
Wideroe,2020,90682,2877806,0.03151081066618111
Wideroe,2021,107890,3548955,0.03040049817481484
Wideroe,2022,149025,7403022,0.02013029273720921
Wideroe,2023,30342,1472690,0.02060311402942914
Wizz Air Group,2020,114300,2877806,0.03971775720809533
Wizz Air Group,2021,142576,3548955,0.04017407941210863
Wizz Air Group,2022,310605,7403022,0.041956514515288486
Wizz Air Group,2023,65728,1472690,0.044631253013193546
easyJet Group,2020,200092,2877806,0.06952935673912695
easyJet Group,2021,221440,3548955,0.062395832012521996
easyJet Group,2022,600802,7403022,0.08115631697433831
easyJet Group,2023,108989,1472690,0.07400674955353809
